,food,description
83,시나몬롤,루프 유기농 통밀브레드믹스 우유 카놀라유 크림치즈 버터 슈가파우더 바닐라오일 약간 황설탕 또는 흑설탕 시나몬가루 땅콩분태
84,오이무침,오이
85,식빵꽃,강력분 박력분 우유 물 설탕 버터 인스턴트이스트 소금 녹차가루 따듯한물 적고구마 딸기쥬스가루 물
86,쇼콜라케이크,초콜렛 버터 박력분 코코아파우더 노른자 설탕 생크림 오렌지술 오렌지제스트 다크초코렛 건조딸기 조금 피스타치오 조금 흰자 설탕
87,전자렌지딸기찹쌀떡,딸기 녹말가루 팥소 찹쌀가루 물 설탕
88,닭고기샌드위치,닭고기안심살 베이비채소 파프리카 조금 식빵 허브솔트 올리브유 머스터드 꿀 바베큐소스 올리브오일 식초 꿀 소금 후추 조금 오렌지쥬스
89,깻잎떡볶이,떡볶이떡 어묵 양파작은거 양배추 조금 깻잎 물국대접
90,연어또띠아말이,또띠아 훈제연어 양파 오이 상추 오렌지 마요네즈 케이퍼
91,김치볶음밥,밥 김치 어묵 계란 파슬리 약간
92,바나나머핀,바나나 작은것 버터 박력분 설탕 계란 베이킹파우더 물엿 꿀 캬라멜소스 럼주 코코넛 슬라이스 조금 설탕 물
93,모밀국수,다시마 가다랑이포 모밀면 김 대파 유부
94,토마토카프레제샐러드,토마토 바질 생모짜렐라치즈 양파 약간 올리브오일 발사믹식초 꿀 소금 레몬즙 후춧가루 약간
95,오징어청양고추조림,오징어링 마른고추 큰것 다시마 약간 통마늘 청양고추
96,카야쨈호떡,호떡믹스 카야잼 피칸
97,초콜렛치즈머핀,초코머핀믹스 카놀라유 계란 흰자 크림치즈 노른자 슈가 파우더 크림치즈
98,샐러드오므라이스,찬 밥 양파 닭살 계란 식용유 물 샐러드 채소
99,두부치즈케익,두부 크림치즈 생크림 다이제쿠키 버터 계란노른자 설탕 레몬즙 오렌지술 오렌지액 박력분 흰자 설탕 물 설탕 콩
100,라볶이,멸치 다시마 말린표고버섯 물 떡볶이떡 어묵 대파 양파 삶은달걀 취향껏 라면
101,깡장,돼지고기 오징어 양파 큰것 홍고추 풋고추 청양고추 대파 멸치육수 생강술 또는 청주 다진 마늘 후춧가루 약간 참기름 시판쌈장 된장 고추장 맛술 다진 마늘 고춧가루
102,밤조림,밤
103,티라미수컵케익,마스카포네 설탕 레몬즙 계란 설탕 판젤라틴 생크림 녹차스폰지케익 코코아가루 적당량 물 설탕 커피
104,닭발,뼈없는 닭발 깻잎 포도씨유
105,크로켓,디츠다짐 두부 각종야채 적당량 녹말가루 계란 빵가루 녹말가루 포도씨유 약간
106,초코칩케이크,루프 유기농 초코칩 파운드 믹스 계란 카놀라유 버터
107,복숭아찹쌀떡,찹쌀가루 설탕 물 체리쥬스가루 팥소 녹말가루 코코넛가루
108,브런치,밀가루 찹쌀가루 달걀 소금 조금 우유 달걀 브로콜리 식용유 조금 햄 버터
109,굴무밥,쌀 물 굴 무 돗나물
110,멀티그레인곡물빵,루프 멀티그레인 믹스 물 올리브유
111,밥샌드위치,밥 빵 김치 약간 애호박 약간 새송이버섯 약간 피망 약간 식용유 약간 마요네즈 고추장
112,와플,핫케이크믹스 우유 계란 생딸기
113,들깨무국,무 중간크기 다진대파
114,연근전,연근 새우살 빨간파프리카 약간 녹색파프리카 약간 밀가루 양파 당근
115,홈런볼,버터 물 우유 설탕 소금 약간 중력분 달걀 생크림 초콜릿 꿀
116,해물볶음라면,라면사리 새우 오징어 양파 당근 콩나물 홍고추 청고추 대파 다진마늘 다진생강 포도씨유
117,찹쌀경단,찹쌀가루 물 고운팥앙금 적당량 노랑카스테라가루 약간 연두색카스테라가루 약간 흑임자가루 약간 계피가루 약간 생밤 대추
118,냉이순두부찌개,멸치다시마육수 냉이 데친것 바지락조개 계란노른자 애호박 양파 대파 풋고추 홍고추 순두부
119,잡채,당면 시금치 데친 것 돼지고기 채 새송이버섯 양파 당근 목이버섯 불린것
120,생크림케이크,계란 설탕 박력분 버터 바닐라액 오렌지술 생크림 설탕 벚꽃절임 적당량 피스타치오 적당량 컬러슈가 적당량 오렌지 설탕 물 오렌지술
121,까망베르치즈케이크,까망베르치즈 생크림 계란노른자 설탕 박력분 레몬즙 오렌지술 오렌지액 제노아즈 슈가파우더 견과류 약간 초코렛 약간 흰자 설탕
122,시래기들깨탕,사골국물 시래기 송송 썬 대파
123,크림치즈딸기카나페,크래커 딸기 귤 블랙올리브 슬라이스햄 방울토마토 치즈 크림치즈
124,동태전,동태포 밀가루 달걀 다진 대파 다진 붉은고추
125,꽁치김치찌개,꽁치 김치 양파 홍고추 대파 김치국물 물 식용유 다진마늘 고춧가루 소금 약간
126,모카쿠키,아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕
127,갈치조림,갈치 무 감자 물 풋고추
128,초콜렛,생크림 다크초콜렛 밀크 초콜렛 물엿 버터 깔루아 코코아가루 적당히
129,코다리양념구이,코다리 다진대파
130,쿠키,아몬드 헤이즐넛 피스타치오 계란흰자 커피가루 흰설탕
131,빵,강력분 설탕 계란 소금 인스턴트 드라이이스트 버터 우유
132,고구마크림치즈구이,고구마 큰것 계란노른자
133,부추된장국,부추 국물용멸치 다시마 물 두부 붉은고추
134,깐풍코다리,코다리 양파 빨간 피망 파란 피망 대파 건고추 통마늘 계란 녹말가루 박력쌀가루 소금 작은술 소금 생강술 후춧가루 약간 고추기름 진간장 굴소스 설탕 식초 올리고당 생강술 고추기름 후춧가루 약간 참기름
135,아몬드초콜렛,통아몬드 설탕 물 다크 초콜렛 버터 슈가 파우더나 코코아가루 적당량
136,딸기케이크,딸기 작은사이즈 제노아즈 바닐라액 딸기퓨레 미로와 물엿 판젤라틴
137,부추제육볶음,부추 돼지고기목살 양파 붉은고추 맛술 소금 약간 후춧가루 약간 고추장 고춧가루 간장 다진마늘 설탕 참기름
138,모카초코칩머핀,버터 설탕 달걀 박력분 우유 인스턴트커피 베이킹파우더 초코칩
139,김치오믈렛,계란 우유
140,새우버거,새우살 양파 빵가루 계란 밀가루 소금 양상추 치커리 피클 방울토마토 마요네즈 허니머스타드소스 홀그레인 씨겨자
141,충무김밥,무 오징어 밥 김 물 식초 설탕 소금 고춧가루 고추장 간장 식초 다진마늘 설탕 물엿 참기름 후춧가루 약간
142,단호박찜케익,박력쌀가루 호박가루 설탕 계란 우유 플레인요구르트 베이킹파우더 식용유 소금 약간 팥설탕조림 또는 팥배기
143,연어간장조림,연어포 새송이버섯 편생강 브로콜리 돈나물 춘권피 파 흰부분
144,햄크림파스타,스파게티면 로테나 푸실리 통조림햄 작은것 브로콜리 양파 새송이 버섯 다진마늘 올리브유 붉은피망 생크림 우유 에멘탈치즈나 파마산치즈
145,로쉐,다크쵸콜릿 견과류 초코펜 약간
146,느타리버섯구이,느타리버섯 고추장 고춧가루 다진 마늘 다진 파 깨소금 참기름 소금 맛간장 매실엑기스 설탕
147,딸기가나슈케이크,생크림 딸기 장식용 초코렛 조금 박력분 버터 설탕 계란 코코아가루 다크초코렛 생크림
148,베이컨,삼겹살 또는 오겹살
149,떡볶이,잡채 김 밀가루 떡국떡 어묵 대파 튀김가루 찬 맥주 국물용 멸치 물 고추장 고춧가루 간장 다진마늘 물엿 설탕 참기름 깨소금 약간
150,쌈밥,흰쌀밥 통조림햄 작은것 꽃상추
151,순두부찌개,순두부 돼지고기 양파 애호박 물 달걀 청양고추 홍고추 대파 고춧가루 간장 다진 마늘 맛술 소금 약간 후춧가루 약간
152,식혜,엿기름 물 생강 불린쌀 물
153,고구마야채튀김,고구마 양파 당근 느타리버섯 튀김가루 달걀 찬맥주 간장 고춧가루 참기름 약간 통깨 약간
154,식빵,강력분 계란
155,카스테라,박력분 계란노른자 계란 정도 오일 럼주
156,닭개장,닭 단배추 토란대 고사리 숙주나물
157,초코바,아몬드슬라이스 쌀크로칸트 헤즐넛 생크림
158,퍼지브라우니,중력분 계란 베이킹파우더
159,마늘바게트,바게트빵
160,모카빵,강력분 버터 설탕 우유 인스턴트이스트 소금 뜨거운물 커피 깔루아 건포도 호두 약간 박력분 설탕 계란 우유 베이킹파우더 베이킹소다 모카에센스
161,삼색상투과자,백앙금 아몬드가루 노른자 생크림 물엿 녹차가루 백년초 가루 단호박가루
162,캬라멜크림,생크림 설탕 찬물
163,옥수수식빵,유기농 옥수수가루 유기농 강력분 물 우유 드라이이스트 스위트콘
164,망고레어치즈케이크,크림치즈 오렌지술 레몬즙 화이트초코렛 생크림 다이제쿠키 버터 망고슬라이스 통조림 피스타치오 조금 미로와 조금
165,치킨까스카레덮밥,감자 양파 당근 닭가슴살 닭가슴살 달걀
166,요거트스콘,박력분 소금 베이킹 파우더 베이킹소다 설탕 요거트 크랜베리 후르츠믹스 계란물 약간
167,야채피클,백오이 연근 중간크기 적양배추 양파 큰 것
168,오렌지탕수육,돼지고기 오렌지 양파 피망 붉은피망 목이버섯 달걀 녹말가루 물 밀가루 녹말가루 간장 맛술 포도씨유 소금 약간 후춧가루 약간 케첩 설탕 식초 간장 물
169,떡갈비,갈빗살 다진양파 다진마늘 다진 밤 다진 대추 다진파 다진 양송이 잣 다진거 찹쌀가루 배즙 생강즙 깨소금 간장 설탕 꿀 참기름 청주 후추 소금 약간 간장 조청 꿀 참기름
170,달래김무침,달래 김 깨소금
171,키위바나나잼,키위 바나나 중간것
172,멸치무침,중멸치 잔파 약간
173,달걀찜,달걀 물 다시마 다진파 약간
174,오렌지닭봉구이,닭봉 오렌지 우유 다진마늘 소금 후춧가루 약간 오렌지 주스 설탕 식초 물엿 굴소스 핫소스 물
175,햄야채키슈,계란 노른자 생크림 넛맥 후춧가루 소금 강력분 박력분 버터 계란 소금 우유 또는 물 통조림햄 작은것 브로콜리 양파 새송이 버섯 큰것 파프리카 중간것 모짜렐라치즈 또는 에멘탈치즈
176,견과류파운드케익,박력쌀가루 버터 황설탕 계란 생크림 와인 헤즐넛가루 시나몬가루 베이킹 파우더 은술 소금 약간 다크 쵸콜릿 다진 것 피칸 다진 것 통피칸 약간 호두 약간 피스타치오 약간 통아몬드 약간 와인에 절인 건조산딸기 팔각
177,파운드케이크,포도주 꿀 팔각 레몬껍질 푸룬 버터 설탕 박력분 계란큰것 베이킹파우더 온수 레몬즙 슈가파우더
178,돼지고기야채볶음,돼지고기 양파 빨강 노랑 파프리카 브로콜리 마늘 진간장 청주 생강가루 참기름 후춧가루 조금 두반장 고추기름 멸치육수 간장 청주 참기름
179,쌀가루치즈케이크,크림치즈 설탕 달걀 바닐라오일 아몬드가루 햇방아 쌀가루 생크림 프룬 적당량 호두 적당량
180,연어계란샐러드,양상추 돈나물 계란 훈제연어
181,해물김치볶음밥,김치 새우 오징어 양파 당근 밥 다진마늘 다진생강 포도씨유 맛술 소금 약간 후춧가루 약간 케첩 설탕 물엿 핫소스 굴소스 참기름
182,닭가슴살두부강정,닭가슴살 두부 땅콩 계란 노른자 다진 마늘 작은술 부추 소금 생강술 후춧가루 약간 고추장 듬뿍 토마토케첩 머스타드 멜린다 핫소스 설탕 올리고당 후춧가루 약간 진간장 물
183,두부또띠아피자,또띠아 두부 청피망 빨강 파프리카 노랑 파프리카 양파 베이컨 피자치즈 적당량 파슬리가루 조금
184,차돌박이된장찌개,차돌박이 두부 작은 것 애호박 감자 양파 청양고추 홍고추 팽이버섯 대파 멸치다시물 소금 약간 후춧가루 약간 생강술
185,캬라멜와플,강력분 박력분 계란 설탕 버터 캬라멜크림 우유 드라이 이스트 생크림 우유 캬라멜크림 설탕
186,사탕,설탕 물엿 물 식용색소 조금 실리콘몰드 반지
187,케이크,버터 설탕 계란 소금 조금 꿀 생크림 오렌지술 박력분 아몬드분말 코코넛분말 베이킹파우더 파인애플슬라이스통조림 병조림체리
188,떡케익,찹쌀가루 설탕 대나무가루 약간 호박가루 약간 체리쥬스가루 약간 각 칼라별로 물 카스테라가루 멥쌀가루 설탕 물 설탕물에 졸인 검은콩 찹쌀가루 설탕 팥앙금
189,코다리조림,코다리 나박썬무 청양고추 물
190,꼬막볶음,꼬막 양파 청 홍고추 각 대파 당근 아주조금 애호박
191,연두부샐러드,불리지 않은 백태 물 한천가루 소금
192,잉글리시머핀,강력분 이스트 설탕 소금 버터 분유 식초 물 옥수수가루 적당량
193,단호박머핀,박력분 단호박가루 단호박 버터 설탕 달걀 베이킹파우더 소금 우유 바닐라오일 조금
194,카레돼지불고기,돼지고기불고기감 청주 청피망 당근 양파 애느타리버섯 대파
195,컵계란빵,핫케이크가루 우유 달걀 달걀 슬라이스치즈 파슬리가루 약간
196,딸기견과류샐러드,딸기 사과 귤 샐러드채소 방울토마토 아몬드 땅콩 피스타치오 딸기 요구르트 꿀 레몬즙
197,캬라멜마블파운드케이크,박력분 베이킹 파우더 우유 계란 버터 설탕 캬라멜크림
198,유자제육볶음,돼지고기 양파 풋고추 붉은고추 달래
199,제누아즈,달걀 설탕 물엿 박력분 식용유 바닐라 오일
200,딸기생크림케이크,딸기 키세스초콜릿 장식용왕관택
201,샤벳,검은콩 두유 생크림
202,롤케이크,박력분 계란 설탕 우유 벌꿀 버터 딸기시럽 딸기파우더 생크림 설탕 딸기시럽
203,등갈비바베큐,등갈비 생강술 소금 월계수잎 통후추
204,쵸콜릿,아몬드가루 허니파우더 계란흰자 대잎분말가루 다진 피칸 바닐라액 다크쵸콜릿
205,모과차,모과
206,오렌지마들렌,박력분 설탕 버터 포피씨드 레몬즙 달걀 우유 오렌지 껍질 베이킹 파우더 바닐라향 약간
207,아마씨식빵,아마씨 믹스 동봉된 이스트 따뜻한물 포도씨유 치즈
208,두부샌드그라탕,두부 쇠고기 대파 피자치즈 적당량 포도씨유 약간 소금 약간 진간장 핫소스 설탕 마늘 청주 참기름 후춧가루 조금
209,브로콜리새우볶음밥,칵테일 자숙새우 데친 브로컬리 삶은 계란 밥 베이비채소 약간
210,딸기버터케이크,버터 설탕 달걀 박력분 우유 베이킹파우더 바닐라오일 딸기 약 생크림 나빠쥬 광택제 약간
211,콘브레드,중력분 옥수수가루 계란 버터 우유 베이킹파우더 저는 베이킹소다 소금 설탕 취향에 따라 물기뺀 옥수수알 겉에 바를 노른자
212,귤머핀,박력분 아몬드가루 버터 설탕 계란 베이킹파우다 귤 우유 바닐라오일 조금
213,굴비탕수육,싱싱한참 굴비 튀김용기름 적당량 녹말가루 조금 당근 청피망 목이버섯 오이 대파 윗부분 마늘 생강 청주 진간장 진간장 식초 설탕 멸치육수 물녹말 참기름
214,풋마늘오징어무침,풋마늘 오징어
215,버거,바다로 동태 햄버거빵 체다치즈 빵가루 소금 후춧가루 약간 계란 양파 피클 양상추 토마토 약간 삶은 계란 마요네즈 허니머스터드소스 피클 파슬리 식초 레몬즙 소금 약간
216,치즈케이크,크림치즈 설탕 계란 옥수수전분 생크림 레몬껍질 다이제쿠키 버터
217,칠리참치롤,칠리참치통조림 밥 오이 날치알 무순 오렌지쥬스 식초 설탕 소금 마요네즈 약간
218,쉬림프딸기샐러드,새우 딸기 양상추 치커리 튀김가루 달걀 물
219,귤쥬스,껍질을 깐 귤 생강
220,감귤젤리아이스바,가루 젤라틴 물 감귤통조림
221,캬라멜비스코티,계란 설탕 캬라멜크림 통아몬드 아몬드가루 박력분 베이킹파우더
222,바닐라설탕,흰설탕 바닐라빈
223,딸기바나나크레이프,계란 우유 바나나 냉동딸기 다진 피칸 바질잎 약간 버터
224,설렁탕깍두기,깍둑썬 무 사이다 대파
225,녹차롤케이크,박력분 계란 설탕 우유 꿀 버터 녹차가루 생크림 설탕 물 버터 소금 설탕 박력분 계란 우유 바닐라액 계란노른자 설탕 옥수수전분
226,연유,우유 설탕이 우유의 설탕
227,새우탕수,새우 양파 피망 파프리카 파인애플 통마늘 튀김용기름 계란노른자 녹말가루 녹말가루 물 소금 후춧가루 레몬즙 진간장 식초 케첩 후춧가루 약간 올리고당 설탕 참기름 핫소스 식용유 물
228,칼국수,칼국수 감자 애호박 계란 새우 표고버섯 당근 약간 대파 멸치육수
229,상하이파스타,스파게티면 껍질 깐 생새우나 칵테일새우 청피망 작은것 양파 빨간 파프리카 작은것 청양고추 팽이버섯
230,양상추샌드위치,롤빵 베이컨 양상추 방울토마토
231,돼지갈비찜,돼지갈비 당근 양파 마른표고채 물
232,파운드,파운드케익틀 큰거 한개 분량 버터 설탕 박력분 계란 베이킹파우더 소금 조금 레몬액기스 레몬즙 모카액기스 깔루아
233,전복죽,전복 불린 쌀 물
234,계란장조림,계란
235,콩나물곤약비빔면,실곤약 콩나물 당근 김밥용햄 크리미 쪽파 조금 통깨 조금
236,짜장면,짜장면발 양파 작은 크기 감자 당근 애호박 돼지고기안심 옥수수캔 조금 삶은 달걀 마늘 녹말물 오이 물 포도씨유 적당량 소금 청주 후추 춘장 설탕 물엿
237,파전병,밀가루 소금 뜨거운물 참기름 다진파 소금 베이컨 기름 초간장 양파 베이컨 소금 후추 발사믹식초 허니머스터드소스 샌드위치빵
238,가토쇼콜라,버터 다크초콜렛 설탕 달걀 레드와인 소금 무가당 생크림 박력쌀가루 무가당 발로나 코코아 가루 장식용 슈가파우다 약간 적당히 레드와인에 절인건포도
239,녹차팥파운드케이크,박력분 설탕 버터 녹차가루 계란 베이킹 파우더 바닐라오일 약간 팥배기
240,훈제연어롤,밥 오이 맛살 단무지 참치캔 김밥 김 훈제연어 슬라이스 식초 설탕 소금 참기름
241,조개구이,게조개 계란 노른자 두부 대파 풋고추 약간 홍고추 약간 미니파프리카 삶은 계란
242,클램차우더스프,대합 작은거 브로콜리 양송이 양파 감자 생크림 물 파슬리가루 약간 밀가루 우유 올리브유
243,칠리새우,블랙타이거새우 약 녹말가루 계란 다진마늘 다진 대파 파프리카 다진것 약간 파슬리가루 약간 식용유 물 물 녹말가루 소금 약간 후추 약간 두반장 고추기름 케첩 설탕 매콤한 굴소스 고운 고춧가루
244,노오븐마늘빵,식빵
245,초코칩쿠키,밀가루 버터 황설탕 계란 베이킹소다 소금 커피액기스 코코아가루 호두 초코칩 설탕
246,장미꽃쿠키,버터 슈가파우더 박력분 딸기시럽 우유
247,몬테크리스토,식빵 슬라이스 햄 슬라이스 치즈 닭가슴살 튀김가루 얼음물 달걀
248,계라주먹밥,밥 당근 데친 시금치 계란 오징어젓갈 약간 밥 콩잎 적당량 청양 고추 명란젓갈 약간
249,시금치크림스파게티,시금치 양파 식용유 잣 파 조금 스파게티면
250,블루베리타르트,아몬드슬라이스 분당 조금 버터 아몬드가루 박력분 소금 조금 계란 설탕 찬버터 설탕 박력분 소금 조금 냉동블루베리 설탕 레몬즙
251,탕평채,청포묵 소고기 잡채용 미나리 계란 조미김 진간장 다진파 다진마늘 참기름 설탕 조금 깨소금 후춧가루 조금 소금 조금 깨소금 참기름 소금 조금 깨소금 참기름
252,사블레린처쿠키,버터 삶은 노른자 슈가파우더 중력분 아몬드가루
253,달래콩나물밥,콩나물 달래 당근
254,피넛버터머핀,박력분 버터 피넛버터 계란 우유 깔루아 설탕 베이킹 파우더 인스턴트커피 슈가파우더 찬물
255,메추리알꼬치,메추리알 튀김가루 통깨 약간 튀김가루 찬 맥주 고추장 케첩 간장 물엿 설탕 과일즙 통깨
256,봉골레스파게티,정도 바지락 건고추 작은것 통마늘 화이트와인 파마산치즈가루 적당량
