food,description
어묵말이밥,단무지 우엉 계란 밥 참기름 깨소금
검정콩청국장,검정콩
콩가루비스코티,박력분 콩가루 아몬드파우더 베이킹파우더 설탕 소금 달걀 올리브오일 우유 큰술 바닐라엑스트렉 통아몬드 건포도
오렌지닭가슴살샐러드,오렌지 닭가슴살 빨강파프리카 노랑파프리카 초록파프리카 리코타 치즈 적당량 바질 약간 유자청 우유 레몬 소금 약간
햄호박전,호박 통조림햄 부침가루 약간 계란
파프리카샌드위치,식빵 빨강파프리카 노랑파프리카 초록파프리카 연어 달걀 기름 약간
호박약식,찹쌀 백설탕 소금 물 호두 잣 조린밤 대추 늙은호박고지
떡만두국육수,한우양지 쌀떡 손만두 계란 쪽파
고구마양갱,한천가루 불려줄 물 찐고구마 고구마 갈아줄 물 설탕 올리고당 소금 약간 호두 복분자
안동식혜,찹쌀 엿기름 생강 물 무 밤 대추 잣 배 유기농설탕 고춧가루 약간
모카만주,박력분 달걀 설탕 물엿 커피 연유 베이킹파우더 버터 소금 바닐라오일 약간 백앙금 호두 달걀노른자 카라멜색소
돈지루,우엉 감자 무 대파 삼겹살 곤약 미니새송이 듬뿍
버섯오이무침,느타리버섯 정도 오이 소금 정도 통깨 약간
크림치즈디핑소스,크림치즈 피자치즈 슬라이스치즈 파마산치즈가루 건망고 사과잼
고추멸치조림,중멸치 청양고추 풋고추 다진마늘
전복된장국,전복 된장 두부 호박 양파 청고추 홍고추
김치말이만두전골,포기김치 만두속
달걀프리타타,달걀 감자채 양배추채 양파채 토마토 치즈
콩나물몰무침,콩나물 몰 당근
단호박김치전,단호박 김치 김치국물 물 부침가루 양파 올리브유
고기떡찜,산적고기 가래떡 물 다진 파 다진 마늘
초코견과쿠키,달걀 포도씨유 우리밀통밀가루 우리밀중력분 베이킹소다 베이킹파우더 피칸 오트밀 청크초코
초코계란쿠키,박력분 코코아 가루 슈가 파우더 계란 노른자
삼치된장구이,손질된 삼치
떡샐러드,통조림복숭아 떡 빨강파프리카 양상추 치즈 바질
오징어메추리알장조림,반건조 오징어 메추리알 통마늘 청양고추
마샐러드,꽃등심 둥근마 채소류
야채버섯죽,불린쌀 표고버섯 팽이버섯 브로콜리 조금 당근 조금 참기름
장미쿠키,장미 백앙금 달걀노른자 아몬드가루 소금 약간 우유 상태에따라 되기 조절 백련초가루 단호박가루
오징어풋마늘대초무침,오징어 풋마늘대
아몬드잔멸치볶음,잔멸치 아몬드슬라이스 버터 카놀라유 통깨 간장 설탕 물 생강술 올리고당
생강만주,박력분 생강가루 달걀 설탕 물엿 커피 연유 베이킹파우더 버터 소금 바닐라오일 약간 백앙금 호두 달걀노른자 우유
유자드레싱샐러드,베이비채소 떡국떡
배추속대국,배추속대 꽃게 무 조금 청양고추 홍고추 대파 콩나물 멸치다시마육수
가나슈컵케이크,밀가루박력분 코코아가루 베이킹파우더 바닐라오일 다크초콜릿 버터 설탕 달걀 소금 생크림 다크초콜릿 버터 오렌지리퀴르 바닐라오일 스프링클 피스타치오 분태 땅콩분태
꿀떡강정,가래떡 아몬드 식용유 적당량
소고기야채말이,소고기 불고기감 색색야채
오징어시금치튀김,오징어다리 시금치 빵가루 찹쌀가루 계란 베이킹소다
닭가슴살볶음우동,우동면 양파 브로콜리 썰은것 적색파프리카 주황파프리카 맛살 조금 굴소스 간장 매실액 후추 참기름 대파 깨소금
봄동배추전,봄동배추 밀가루
미나리콩나물초무침,미나리 콩나물 오징어몸통
고기감자전,감자 청양고추 간 돼지고기 양파 부침가루
버섯두부조림,두부 버섯 멸치육수 다진쪽파 약간
망고초콜릿,망고 큰것 다크 초콜릿 화이트 초콜릿 카카오매스 빨강 색소 약간 생크림 약간
서리태땅콩조림,서리태 생땅콩
버섯제육볶음,한돈 대패삼겹살 양파 작은 것 당근 약간 느타리버섯 대파
양배추기름떡볶이,떡볶이떡 양배추 약간 깻잎 약간 참깨 식용유
홍합파스타,파스타면 홍합 깻잎 약간 마늘 후추가루 약간 올리브오일
연어토스트,연어캔 토마토 시금치 조금 달걀 카레가루 조금 파슬리가루 기름 조금
울금김치밤밥,쌀 울금 물 밤 김치 표고버섯 대추
얼그레이파베초콜렛,밀크커버춰초콜렛 생크림 얼그레이티백 올리고당 또는 물엿 발로나코코아파우더 적당량
망디앙초콜렛,다크초콜렛 밀크초콜렛 각종견과류 건과일
크런치초콜렛,딸기 크런치 망고 크런치 블루베리 크런치 적당량 화이트초콜렛 다크초콜렛
시래기볶음,건시레기나물 마늘 조선간장 깨소금 대파 들기름 멸치육수
레몬필초콜릿,화이트 커버춰 초콜릿 생크림 레몬필 코코넛 롱 적당량
연근칩샐러드,연근 소금 식초 베이비채소 토마토 연근튀김
한라봉파운드케이크,한라봉 껍질 한라봉즙 버터 설탕 소금 박력분 베이킹파우더 달걀 바닐라익스트랙
만두찌개,터진만두 두부 양파 대파 마늘
닭가슴살파프리카볶음밥,오렌지 닭가슴살 빨강파프리카 노랑파프리카 초록파프리카 밥
키조개치즈오븐구이,키조개 청피망 홍피망 양파 버터 치즈
돈가스샐러드,돈가스용 돼지고기 양상추 방울토마토 식빵 달걀 밀가루 조금 마늘 생강 소금 후추
동태찜,동태 홍고추 청양고추 무 양파 조금
쌀초코쿠키,박력쌀가루 아몬드파우더 슈거파우더 달걀 로띠커피향 버터 박력쌀가루 말차가루 아몬드파우더 슈거파우더 달걀 바닐라오일 버터 다크초콜릿 버터 생크림
완자전,돼지고기등심 다진파 봄동 사과 키위
만두피인절미구이,인절미 냉동만두피 팥앙금
더덕봄동겉절이,더덕 봄동
소고기볶음콩나물밥,쌀 물 콩나물 소고기 조금
떡그라탕,떡국떡 전 모짜렐라치즈 우유 파마산치즈가루 약간 파슬리 약간
감자빠스,감자
어묵숙주나물볶음,치즈어묵 노란색 파프리카 빨간색 파프리카 피망 대파 숙주나물
버섯탕수육,버섯 햄 브로콜리 튀김가루 방울토마토 밀가루 약간
채소잡채,채소류 쌈채소 당면 함초가루 대파 마늘
기름떡볶이샐러드,떡볶이떡 베이비채소 적당량
소세지떡볶이,떡국떡 라면 소세지 대파 양파 당근
봄동잡채,봄동 당면 파프리카 느타리버섯 당근 양파 대파
연근꼬마김밥,밥 어묵 랍스틱 연근 달걀 시금치 단무지 김밥용김
키조개관자미역국,키조개관자 건미역 물
오색떡꼬치,어묵 오색떡볶이 떡 참기름 약간
보리굴비고추장무침,보리굴비 청양고추 잔파
카레새우볶음밥,계란 양파 손질새우 부추
떡갈비버섯야채볶음,시판떡갈비 파프리카 피망 표고버섯 새송이버섯 팽이버섯 쪽파 깻잎
간장당면떡볶이,떡볶이떡 표고버섯 약간 양배추 약간 당근 약간 대파 불린당면 식용유 깨 간장 물 올리고당 후춧가루 약간 참기름 다진마늘 굴소스
새우화이타,토마토 다이스드 베이컨 양파 양송이버섯 풋고추 손질새우 모짜렐라치즈 파슬리
오징어달래국,오징어 달래 파 청양고추 무 건다시마 물 청주
닭가슴살알리오올리오,스파게티 닭가슴살 마늘 페페로치노 파마산치즈가루 올리브오일 검정 통후추 적당량 베이비채소
어묵떡국,떡국떡 도토모 달걀 대파
브로콜리고구마스프,브로콜리 호박고구마 양파 버터 생수 우유
어묵된장찌개,어묵 감자 양파 호박 마늘 대파 청양고추
우엉김치볶음밥,밥 김 물 계란 김치 당근 양파 호박 우엉무침
버섯김치덮밥,따끈한 밥 묵은지 양배추 약간 새송이버섯 대파 약간 식용유
시래기감자탕,시래기 돼지등뼈 청양고추 콩나물 대파 깻잎 마늘 양파 대파
감자양송이스프,감자 중간크기 양송이 우유 물 슬라이스 치즈
마김밥,둥근마 당근 달걀 곱슬겨자 둥근마 푸른잎채소
김밥전,밥 단무지 우엉 치즈 계란 김 파슬리가루
비빔떡라면,떡국떡 라면사리 당근 양배추 청피망 참기름
톳두부무침,톳 두부
냉이전,냉이 부침가루 물
홍합찜,홍합 소주 약간 마늘 냉장고속야채
치즈식빵카나페,식빵 방울토마토 리코타치즈 베이비채소 망고잼 숙성치즈 약간
유자청견과류조림,호두 아몬드 간장 유자청 물
묵은지돼지고기두루치기,삼겹살 묵은지 청양고추 대파
차숙이,차돌박이 숙주나물 대파 굴소스 두반장 후추가루 깨소금
매운족발,남은족발 양파 양배추 청양고추 풋고추 식용유 고추장 고춧가루 간장 다진 마늘 올리고당 참기름 후춧가루 약간 카레가루 약간 생강즙 맛술
버섯토스트,식빵 작은 새송이버섯 방울토마토 베이비채소
세발나물김무침,세발나물 조미김가루 정도
연어감자조림,연어 감자 청양고추 표고버섯 대파 마늘 전분가루 식용유 고춧가루 간장 설탕 청주
문어볶음밥,문어 브로콜리 씻은깍두기김치 간마늘
소고기야채꼬치구이,소고기 등심 주키니 호박 새송이버섯 삼색 파프리카 양파 방울토마토
검은깨치즈케이크,크림치즈 생크림 전분 달걀 다이제 쿠키 검은깨
올리브토마토파스타,블랙올리브 방울토마토 마늘 피망 베이비채소 미트토마토소스
닭가슴살닭개장,닭가슴살캔 숙주나물 대파 시래기나물 반찬 취나물 반찬 표고버섯 계란 멸치육수
가래떡튀김,떡볶이떡 튀김기름 적당량
연어보푸라기밥케이크,캔연어 오이 계란 밥 마요네즈 소금 깨
양파김치볶음밥,김치 양파 현미밥
표고버섯양파두부조림,손두부 양파채 표고버섯채
새조개무침,새조개 미나리 오이 양파 배 고추 다진파 소면
콜라비나박김치,콜라비 속배추 실파 청고추 홍고추 마늘 생강 조금 사과
쑥계란말이,데친쑥 달걀 식초
스팸마요덮밥,통조림햄 계란 양파 브로콜리 약간 후추 약간 마요네즈 김가루
유자초코스콘,박력분 베이킹파우더 찬버터
블루베리피자,블루베리 설탕 또띠아 피자치즈
세발나물계란말이,계란 세발나물 당근 햄 마늘 물 식용유
명란브로콜리계란말이,브로콜리 조금 명란 계란
치즈떡갈비,등심 소고기다짐육 떡국떡 치즈
파래자반볶음,건파래
떡맛탕,가래떡 간장 아가베시럽 참기름 견과류 버터 약간 마늘
냉이국,냉이
해물탕면,라면 모둠해물 양파 청경채 숙주 홍고추
느타리버섯풋마늘무침,느타리버섯 풋마늘 통깨
미나리주먹밥,삶은미나리 밥 김밥용김 약간 브로콜리 딸기 적당량
두부덮밥,쌈채 다홍채 두부
시금치에그베네딕트,시금치 달걀 양파 베이컹 치아바타 홀렌다이즈소스
유채나물주먹밥베이컨말이,베이컨 소금 약간 밥 깨소금 참기름 간장
오징어채고추장무침,오징어채 마요네즈 참기름 통깨 약간
느타리버섯오징어볶음,느타리버섯 오징어 대파 양파 적파프리카 노랑파프리카 참기름 통깨 약간
치즈카프레제,모짜렐라치즈 방울토마토 대추토마토 볶은 아몬드
유부조림,육수에넣었던다시마 유부
전복매생이떡국,떡국떡 매생이 꼬마전복
도미스테이크,도미필레 소금 후추 올리브유 세발나물 딸기 느타리버섯 유자청 양파 버터 우유 밀가루 소금 약간
차돌박이숙주볶음,차돌박이 달래 고추기름 간장 맛술 매실원액 다진파 다진마늘 후추약간
참치닭가슴살김밥,참치캔 닭가슴살 캔 랍스틱 시금치 무침 당근 단무지 우엉 달걀지단 구운김 밥
콩나물계란국,달걀 콩나물 다진대파
멍게손질,멍게
오렌지아몬드비스코티,박력분 아몬드 가루 베이킹 파우더 계란 오렌지 필 통아몬드
바나나식빵피자,바나나 식빵 모짜렐라치즈 토마토 양파 파프리카 브로콜리 파슬리가루 식용유 스파게티소스
흑미쌀빵,플레인 요거트 달걀 우유 꿀 버터 제빵용 쌀가루 제빵용 흑미가루 비정제 황설탕 천일염 인스턴트 드라이이스트 검은깨와 참깨 섞은 것 달걀물
콩비지전,콩비지 양파 마늘 계란 부침가루 김장김치 돼지고기 실파 약간 청양고추 홍고추
새송이버섯메추리알장조림,새송이버섯 메추리알
연어폭탄주먹밥,연어캔 마요네즈 따뜻한 밥 참기름 소금 검은깨 참치 새우맛가루 양념김
위크앤드,박력분 달걀 레몬즙 레몬제스트 살구 약간 녹인버터 설탕 피스타치오 약간 슈가파우더 레몬즙
게맛살달래전,게맛살 짧은 것 달걀 달래
매생이전복죽,꼬마전복 매생이 현미밥 다시마물
들깨떡볶이,떡 어묵 들깨가루 간장 올리고당 매실원액 멸치육수 다진마늘 깻잎
검정깨연어말이,연어캔 두부 채소 검정깨 말린토마토 두부 토마토 양파
소세지채소볶음,브로콜리 소세지
당근쌀식빵,강력쌀가루 우유 설탕 인스턴드라이이스트 소금 포도씨유 당근퓨레 당근
냄비밥,쌀 물 명란젓 달래 청주
느타리버섯굴밥,쌀 느타리버섯 굴 달래
후니브레드,식빵 치즈 딸기쨈 우유 건과류
딸기또띠아,참치캔 케일잎 딸기 또띠아 머스터드소스 약간 마요네즈 소스 약간
달래해초비빔밥,달래 건해초 현미밥
다시마무침,쌈다시마 빨강파프리카 주황파프리카 양파 물 적당량
딸기오레오쉐이크,딸기 오레오쿠키 우유
소고기뭇국,소고기 국거리 맹물 무 갈치 통마늘 마늘 마늘쫑 다진마늘 소금 대파 청양고추 대파 청양고추 다진마늘 설탕 고추가루 간장 멸치액젓 생강술 고추장 후추 약간 물 통마늘 설탕 고춧가루 생강술 참기름 올리고당 고추장
쑥동태전,쑥 동태 달걀
유자청파운드케이크,박력분 아몬드 파우더 달걀 버터 설탕 유자청 베이킹파우더
구운채소샐러드,새송이버섯 가지 단호박 파프리카 바질잎 약간
조개라면,새조개 라면 미나리 새송이버섯 고추 육수
참치묵은지김밥,시금치 달걀 밥 김밥용김 햄 참치 마요네즈 묵은지 게살
황태라면,라면 황태채 풋마늘
키조개관자덮밥,조개 관자 양파 청경채 죽순 청고추 홍고추 대파 마늘 생강 조금 미림 육수 굴소스 간장 물녹말 후추 참기름 통깨
가스파초,완숙 토마토 오이 파프리카 양파 샐러리 줄기 식빵 슬라이스
닭가슴살새싹샐러드,어린잎채소 닭가슴살 천혜향
새조개볶음,새조개 당근 양파 고추 콩나물 베이비채소
전복콩나물밥,쌀 콩나물 전복
차돌박이마늘무침,풋마늘 차돌박이
부추계란전,부추 달걀
바나나빵,박력분 바나나 우유 달걀
요거트머핀,버터 설탕 계란 박력분 플레인요거트 베이킹파우더 크랜베리 우유
크로스티니,우유 생크림
연어파스타,파스타면 연어 참나물 양파 마늘 올리브유 스파게티삶은물
더덕튀김,더덕 튀김가루 밀가루 흑임자 식용유 물 얼음
베이컨샐러드김밥,밥 참기름 통깨 김 베이컨 로메인
만두비빔밥,밥 시판 냉동만두 달걀 로메인
아몬드단호박스프,작은 단호박 양파 코코넛 아몬드 생수 소금 약간
비빔잡채,네모당면 오이 당근 양파 불골뱅이
콜드파스타,펜네 물 소금 양파 블루베리 사과
사골육개장,한우 국거리 한우사골곰탕 고사리 무 대파 계란 참기름
사골미역국,사골곰탕육수 소고기양지 건미역 다진마늘 소금 약간 참기름
유린기,닭다리 녹말 양상추 간장 후추 생강술 간장 설탕 식초 물 홍고추 쪽파
돌나물딸기견과류샐러드,딸기 정도 돌나물 견과류 숙성치즈 약간 유자청 레몬즙 포도씨유 소금 약간
열무보리비빔밥,보리밥 열무
토마토달걀볶음,토마토 달걀 올리브유 조금
시금치파스타,스파게티면 시금치
딸기녹차치즈케이크,제누아즈 슬라이스
호두보관,호두
오렌지식빵,강력분 설탕 소금 인스턴드라이이스트
베이컨김치부침개,배추 베이컨
맥적구이,목살 달래 집된장 간장 맛술 매실 무 갈은 것 양파 갈은 것 마늘 설탕
부지깽이나물무침,부지깽이 나물 정도 물 적당량 소금 약간
배치즈오븐구이,배 피자치즈 옥수수 파슬리가루 약간
냄비두부조림,두부 양파
연어참나물샐러드,연어 참나물 식빵 마늘
참나물사과무침,참나물 사과
봄동참치달걀주먹밥,봄동삶은것 밥 참치 마요네즈 된장 참기름 통깨 약간 삶은달걀 마요네즈
비프카레,고형카레 스테이크용소고기 물 토마토 당근 샐러리 양파 마늘 소금 약간 후추약간 파슬리가루 약간 올리브오일 약간
오징어미나리초무침,오징어 미나리 청양고추 양파
모카소보로머핀,박력분 베이킹파우더 달걀 무염버터 설탕 커피
민트생크림케이크,케익틀 제누와즈 달걀 설탕 물엿 박력분 버터 우유 바닐라익스트림 생크림 설탕 민트가루 초록색소 약간 후르츠칵테일 약간 시럽 약간
도토리전병,도토리가루 부침가루 물 양파 영양부추 깻잎
미나리소고기볶음밥,송송썬 미나리 소고기 다짐육 간장 참기름 깨소금 마늘 간장 참기름 매실원액 다진파
감자모닝빵샌드위치,감자 삶은 계란 오이 당근 조금 브로콜리 새싹채소
죽순들깨볶음,죽순 양파 당근 조금 대파 조금
목살찜,목살 참깨 흑임자
해물짜장면,춘장 양파 양배추 해물믹스 우동면
감자오이샌드위치,감자 오이 식빵
죽순깐풍,죽순 홍고추 양파 튀김오일 전분가루 간장 꿀 식초 굴소스 물
명란파스타,파스타 방풍 오징어 몸통 명란젓 올리브 오일 면수 청양고추 통마늘 파마산치즈가루 약간
돼지불고기샐러드,돼지고기뒷다리살 양파 방울토마토 망고 블루베리 베이비채소 새싹채소
콜리플라워크림새우카레,당근 양파 콜리플라워 흰다리새우
깻잎김밥,깻잎 장아찌 비엔나소세지 밥
만능된장,집된장 양파 마늘 견과류
전어비빔밥,전어 약간
돌미나리오이무침,돌미나리 오이
봉골레떡볶이,바지락 떡볶이떡 올리브오일 마늘 페페론치노 화이트와인 조개육수 소금 약간 후춧가루 약간 파슬리가루 적당량
블루베리멸치볶음,멸치 건블루베리 포함
시금치달걀말이,날치알 달걀 당근 쪽파 시금치
토마토라면,방울토마토 라면 대파 약간 물 적당량
냉이콩나물볶음밥,닭가슴살통조림 콩나물 냉이 후랑크소시지
오색주먹밥,유부 참나물 달걀노른자 참깨
토마토채소볶음,방울토마토 아스파라거스 양파 대파 마늘 굴소스 올리브유 후춧가루 통깨
기정떡샌드위치,기정떡 땅콩소스 꿀 양상추 치즈 햄 양배추 피클 머스타드소스
요플레,우유 요거트 과일
오징어파전,쪽파 풋고추 홍고추 달걀 오징어 식용유 약간 부침가루 물
취나물비빔밥,취나물 밥 당근 약간 계란
풋마늘찜,풋마늘 생콩가루 통깨 약간
풋마늘장아찌,풋마늘 간장 물 식초 설탕 매실청
두부쉐이크,두부 바나나 저지방우유 요플레
훈제오리주물럭,훈제오리 양파 당근 대파 참기름 후추 약간
베이컨부추샐러드,영양부추 양파 베이컨
소고기토마토카레라이스,스테이크용 고기 토마토다이스드 통조림 양파 고형카레 올리브유 적당량
숙주나물두부잡채,두부 숙주 파프리카 마늘 고추기름
사과조림샌드위치,식빵 사과 바나나
불고기파니니,소고기불고기구이 모짜렐라치즈 넉넉히 베이비채소 방울토마토 치아바타빵 허니머스터드소스 홀그레인머스터드
표고버섯감자전,표고버섯 감자 양파 쪽파 바지락살 달걀 밀가루 소금 약간 식용유
달래장,달래
마늘샐러드,마늘 냉장고속야채
해물버섯덮밥,모둠해물 청경채 새송이버섯 표고버섯 피망 대파 마늘 매운고추 기름 매운굴소스 간장 소금 조금 후추 참기름 녹말
바지락무침,바지락살 파프리카 양파 쪽파 소금 약간
고구마현미밥,매생이 황태채
총각김치비빔밥,총각김치 달걀지단채썰은것 오이 통깨 따뜻한밥 고추장 참기름
우럭구이,반건조우럭
멍게초밥,밥 오이 설탕 식초 소금 통깨 약간 들기름 약간
소불고기당면볶음,소고기 표고버섯 당근 조금 양파 대파 팽이버섯 홍고추 당면
다솜면,시판우동 당면 양파 팽이버섯
어묵라면,라면사리 사각어묵 무 물 다시멸치 마른다시마 청양고추 대파 약간
햄,햄 양송이버섯 피망 파프리카 양파 당근 다진마늘
야채소고기말이,소고기 허브솔트 피망 쪽파 무순 팽이버섯
세발나물양파덮밥,밥 달걀 세발나물 양파 기름 다진마늘
아보카도연어샌드위치,식빵 훈제연어 슬라이스 오이 크랜베리 약간
크림치즈마들렌,계란 박력분 베이킹파우더
또띠아시나몬롤,또띠아 견과류 건포도
쌈장참치김밥,현미밥 쌈장 참치 단무지 맛살 우엉 오이 쌈채소 약간 김밥용 김
연어밥전,연어캔 양파 피망 쪽파 달걀 밥 기름 적당량
딸기티라미스,딸기 생크림 카스테라
진미채간장볶음,진미채 땅콩
스파게티떡볶이,떡국떡 양파 파프리카 우유 슬라이스치즈
토마토카프레제,토마토 생모짜렐라치즈 어린잎샐러드
가자미구이,가자미 통마늘
오이고추양파된장무침,오이고추 햇양파 집된장 깨소금 된장 매실청 참기름 깨소금
녹차단팥마블머핀,박력분
자몽청,스위티자몽 설탕 적당량
돼지고기제육볶음,돼지고기 목살 양파 애호박 당근 가래떡
연어김치찌개,배추김치 연어참치캔 캔터키프랑크 우동면 물
딸기콩포트,딸기
초코소보로트위스트빵,강력분 설탕 소금 인스턴드라이이스트 우유 물 버터 녹인버터
고추장두부강정,깍둑썰은 두부 밀가루 정도
기름장비빔국수,소면 상추
카레야채볶음밥,밥 양배추 양파 마늘 캔옥수수 기름 참기름 카레가루 실파 약간 베이비채소 약간
견과류또띠아칩,또띠아 버터 견과류 시나몬설탕
불고기볶음우동,양념불고기 생우동 다진파
연어김치김밥,동원연어 오이 김 묵은지 동원센쿡 소금 조금 통깨 조금 참기름 조금 로즈마리 올리브오일 후춧가루 조금
바나나식빵롤구이,바나나 식빵 달걀 빵가루
두릅라면,보리라면 두릅
시래기된장조림,시래기 감자 빨강파프리카 노랑파프리카 소금 후추 달걀 햄 소금 후추 다시멸치 다진마늘 된장 고추장 고추가루 들기름 깨소금 쌀뜨물 홍고추
연근밥전,연근 양파 브로콜리 홍고추 청고추 밥 계란 소고기 표고버섯가루 통깨 흑임자 뽕잎소금 후추
모닝계란빵,모닝빵 계란 슬라이스치즈 피자치즈 파슬리가루 단호박 버터 아몬드슬라이스
애호박새우젓국,애호박 새송이버섯 청양고추 마늘 홍합살 조금
버터창란젓볶음밥,밥 창란젓 버터 청양고추 김가루 약간
새조개초밥,새조개 밥 고추냉이 매실액 식초 통깨 소금
스트로베리쇼콜라케익,정사각틀 분량 딸기잼 달걀 달걀노른자 달걀흰자 슈거파우더 설탕 아몬드파우더 박력분 코코아파우더 버터 다크초콜릿 올리고당 생크림 버터 물 설탕 럼주 딸기 적당량 청포도 적당량
블루베리상투과자,백앙금 아몬드가루 달걀노른자
달걀대파볶음밥,멸치 쌀뜨물 물김 황태채 청양고추 홍고추 달걀 대파 밥
알타리무청김밥,김 밥 달걀지단 당근 오뎅 알타리무청 맛살
망고머핀,무염버터 설탕 달걀 박력분 베이킹파우더 생크림 망고 썰은것 망고 설탕 레몬즙 무염버터 슈가파우더 생크림 망고퓌레
마늘쫑토마토볶음밥,토마토 마늘쫑 밥 달걀 참기름 기름 약간 검정깨 약간
블루베리또띠아피자,또띠아 냉동블루베리 크림치즈 피자치즈
미나리오징어잡채,당면 미나리 오징어 양파 당근 약간 다진마늘 참깨 식용유
참치어묵볶음,묵은지 어묵 캔참치 참깨 약간 식용유 약간
얼갈이된장무침,얼갈이배추
햄버거스테이크닭가슴살볶음밥,닭가슴살 캔 양파 피망 수제 햄버거스테이크 패티 파인애플 밥 카놀라유
초코소보로모닝빵,강력분 인스턴드라이 이스트 우유 버터 초코소보로 적당량
닭봉양념구이,닭날개 닭봉 양파 통후추 조금 정양 조금 식용유 감자전분가루 조금 카레가루 조금 다진마늘 소주 양파 정양 조금 통후추 조금 소주
오이양파무침,오이 양파
갓김치해물전,갓김치 모둠해물 부침가루 물 카놀라유
요거트식빵,강력분
들깨시래기국,삶은시래기 멸치육수 쌀뜨물 대파 식용유 빨강 파프리카 노랑파프리카 잔멸치 시금치 된장 다진마늘 생강술 들깨가루 설탕 간장 물 생강술 국간장 유기농아마씨오일 깨소금
쇠고기잡채,쇠고기 마늘종 양파 당근
명란젓두부찌개,두부 명란 새우젓 물 파 다진마늘 통깨 약간 참기름 약간
낙지전골,낙지 중간 크기 양파 콩나물 오만둥이
두부양파조림,두부 양파 약간
육쌈냉면,칡냉면 오이 쌈무 열무김치 계란 돼지고기앞다리살 고추장 고춧가루 간장 식초 설탕 매실액 연겨자 양파 마늘 대파 말린망고 사이다 냉면양념장 조금 간장 쯔유 설탕 매실액 맛술 마늘 대파 생강 후추
오만둥이해물라면,라면사리 오만둥이 단호박 슬라이스 낙지 대파
허니갈릭브레드,식빵 버터 다진마늘 파슬리 시나몬
소고기토마토샐러드,대저토마토 얇은불고기감 소고기 양파 꽈리고추
소고기버섯들깨탕,팽이버섯 새송이버섯 느타리 버섯 양지소고기
깻잎불고기주먹밥,깻잎김치 소불고기볶음 따뜻한밥 검은깨 식초 설탕 소금
오징어비빔젓갈,오징어젓갈 마늘 청양고추 쪽파 견과류
민들레김치,민들레 쪽파 양파 작은크기
두릅전복밥,전복 두릅 정도 다시마 조금 물 정도 쌀
갑오징어숙회,갑오징어 파프리카 마늘종
콘치즈,옥수수콘 홍파프리카 양파
라즈베리무스케이크,무스틀 하트틀 제누와즈 라즈베리퓌레 흰자 설탕 물 생크림 럼 젤라틴 퓌레 설탕 물엿 젤라틴
돼지고기뚝배기불고기,돼지고기 양파 팽이버섯 청양고추 대파 당면 다진마늘
참치감자샌드위치,샌드위치빵 마요참치 감자 오이 파프리카 조금
양파감자전,감자 양파 청양고추 홍고추 우리밀 중력분 약간
두부치즈롤,두부 동태살 날치알 빵가루 슬라이스치즈 달걀 밀가루 적당량 빵가루 적당량 튀김기름 적당량
오이맛살냉채,오이 빨강파프리카 노랑파프리카 맛살
소고기등심찹스테이크,소고기등심 양파 파프리카 양송이버섯 고추
햄양배추덮밥,밥 캔 햄 작은 것 양배추 느타리버섯 대파 약간 식용유 약간 녹말물
제육쌈김밥,돼지고기 현미밥 단무지 쌈채소 김밥김
낙지호롱구이,낙지 밀가루 굵은소금
초코소보로,식빵 딸기잼 약간 초코소보로 적당량
딸기레몬네이드,딸기 비정제설탕 제스트 중력분 버터 설탕 베이킹파우더 달걀
율무죽,율무 맵쌀
굴소스해물볶음밥,모둠해물 애호박 달걀 카놀라유 적당량
토마토훈제닭가슴살볶음밥,흑미밥 토마토 훈제 닭가슴살 기름 적당량 브로콜리
아카시아꽃전,아카시아 꽃 정도 밀가루 달걀 물 적당량
깐풍민어,민어 마늘 파프리카 마늘쫑 계란흰자 녹말가루 기름 소금 후추 오렌지주스 소금 녹말물
라즈베리레몬에이드,냉동라즈베리 개 레몬청 탄산수 얼음 적당량
야콘깍두기,야콘
파르팔레,파르팔레 파스타 방울토마토 마늘 노란파프리카 피망 슬라이스블랙올리브 허브시즈닝
마늘종멸치무침,마늘종 멸치
건포도아몬드스틱,버터 비정제황설탕 아몬드가루 우리밀 중력분 블루베리파우더 건포도 우유 겉에 묻혀줄 설탕 적당량
삼겹살대파꼬치구이,통삼겹 미림 소금 약간 후춧가루 약간 대파 새송이버섯 파프리카
누룽지단호박피자,찬밥 단호박 양상추 양파 피자치즈 햄
야채달걀스크램블,쇠고기 양송이 브로콜리 양파 달걀 우유 참기름 약간
도라지들깨나물,도라지 생새우
배추우거지된장국,데쳐놓은 배추우거지 넉넉히 대파 청양고추 마늘
참치야채고추장볶음,캔참치 당근 양파 표고버섯 큰것 피망 청양고추
모히또,레몬 설탕 올리고당 베이킹소다 굵은 소금 유리용기 탄산수 레몬청 얼음 약간 애플민트 레몬청담근레몬
명란오일파스타,파스타면 명란젓 올리브 오일 청양고추 통마늘 쪽파 면수 김가루 약간 파마산치즈가루 약간
미더덕죽,눌은밥 오만둥이 당근 애호박
바지락전,바지락 부추 실파 청양고추 홍청양고추 밀가루 튀김가루 멸치육수 집간장
열무물국수,마른국수 열무물김치
꽃새우튀김,닭새우 꽃새우 전분 조금 튀김기름
파프리카,흰쌀 후추 약간 버터 약간 올리브유 양파 새송이버섯 파프리카
시래기삼치조림,삼치 시래기 적당량 양파 대파 청양고추 생강 조금
소시지오믈렛,후랑크소시지 감자 달걀 생크림 양송이버섯 양파 파프리카 치즈
